id,value
0_Computer Science.1_Algorithm.2_Theorema,128
0_Computer Science.1_Algorithm.2_Dual_EC_DRBG,3
0_Computer Science.1_Algorithm.2_CIP-Tool,2
0_Computer Science.1_Algorithm.2_Greenberg–Hastings cellular automaton,4
0_Computer Science.1_Algorithm.2_Algebraic semantics,573
0_Computer Science.1_Algorithm.2_Ericsson Texture Compression,4
0_Computer Science.1_Algorithm.2_Church–Kleene ordinal,3
0_Computer Science.1_Algorithm.2_Subgraph isomorphism problem,1921
0_Computer Science.1_Algorithm.2_Philosophy of logic,6476
0_Computer Science.1_Algorithm.2_Equational logic,571
0_Computer Science.1_Algorithm.2_Differential analyser,164
0_Computer Science.1_Algorithm.2_Cuckoo search,1580
0_Computer Science.1_Algorithm.2_Heap (data structure),6507
0_Computer Science.1_Algorithm.2_Disjunction and existence properties,10
0_Computer Science.1_Algorithm.2_Gödel's speed-up theorem,2
0_Computer Science.1_Algorithm.2_Trigram search,2
0_Computer Science.1_Algorithm.2_Pagoda,959
0_Computer Science.1_Algorithm.2_Comb sort,6
0_Computer Science.1_Algorithm.2_Decomposition method (constraint satisfaction),8458
0_Computer Science.1_Algorithm.2_Turing completeness,734
0_Computer Science.1_Algorithm.2_Blue book,645
0_Computer Science.1_Algorithm.2_Conservative extension,439
0_Computer Science.1_Algorithm.2_Independent set,7331
0_Computer Science.1_Algorithm.2_Induction of regular languages,1
0_Computer Science.1_Algorithm.2_Counter machine,100
0_Computer Science.1_Algorithm.2_Turing's proof,1
0_Computer Science.1_Algorithm.2_Tree automaton,650
0_Computer Science.1_Algorithm.2_GapP,168
0_Computer Science.1_Algorithm.2_Adder,24289
0_Computer Science.1_Algorithm.2_Anti-unification,58
0_Computer Science.1_Algorithm.2_Entscheidungsproblem,165
0_Computer Science.1_Algorithm.2_Complement (complexity),15
0_Computer Science.1_Algorithm.2_Simple precedence parser,1
0_Computer Science.1_Algorithm.2_Next-bit test,9
0_Computer Science.1_Algorithm.2_Lamport signature,5
0_Computer Science.1_Algorithm.2_Wireworld,6
0_Computer Science.1_Algorithm.2_Computational complexity of mathematical operations,6
0_Computer Science.1_Algorithm.2_Hashlife,1
0_Computer Science.1_Algorithm.2_Bx-tree,1
0_Computer Science.1_Algorithm.2_Goal node,115
0_Computer Science.1_Algorithm.2_P system,2867
0_Computer Science.1_Algorithm.2_Pairwise sorting network,1
0_Computer Science.1_Algorithm.2_Program transformation,3660
0_Computer Science.1_Algorithm.2_Beap,83
0_Computer Science.1_Algorithm.2_Pile,53762
0_Computer Science.1_Algorithm.2_Cubesort,5
0_Computer Science.1_Algorithm.2_Fitch's paradox of knowability,5
0_Computer Science.1_Algorithm.2_Situation calculus,1086
0_Computer Science.1_Algorithm.2_McNaughton's theorem,5
0_Computer Science.1_Algorithm.2_Revision theory,101
0_Computer Science.1_Algorithm.2_Sequential access,771
0_Computer Science.1_Algorithm.2_Rope,23283
0_Computer Science.1_Algorithm.2_Continued fraction factorization,1
0_Computer Science.1_Algorithm.2_Odlyzko–Schönhage algorithm,2
0_Computer Science.1_Algorithm.2_IMPLY gate,7
0_Computer Science.1_Algorithm.2_Quantifier elimination,1237
0_Computer Science.1_Algorithm.2_S2TC,2
0_Computer Science.1_Algorithm.2_Automaton,1951
0_Computer Science.1_Algorithm.2_Spectrum of a sentence,3
0_Computer Science.1_Algorithm.2_Algorithm design,59031
0_Computer Science.1_Algorithm.2_Dynamic programming,35804
0_Computer Science.1_Algorithm.2_Warnock algorithm,1
0_Computer Science.1_Algorithm.2_Trakhtenbrot's theorem,1
0_Computer Science.1_Algorithm.2_Recursively enumerable language,1473
0_Computer Science.1_Algorithm.2_SKI combinator calculus,1
0_Computer Science.1_Algorithm.2_Guesstimate,102
0_Computer Science.1_Algorithm.2_Truth predicate,184
0_Computer Science.1_Algorithm.2_Luhn algorithm,11
0_Computer Science.1_Algorithm.2_Blake canonical form,5
0_Computer Science.1_Algorithm.2_Tree traversal,8586
0_Computer Science.1_Algorithm.2_Domino computer,1
0_Computer Science.1_Algorithm.2_Automata construction,53
0_Computer Science.1_Algorithm.2_3D Life,15
0_Computer Science.1_Algorithm.2_Strongly connected component,2831
0_Computer Science.1_Algorithm.2_Zig-zag product,12
0_Computer Science.1_Algorithm.2_ALGOL 58,6
0_Computer Science.1_Algorithm.2_McCarthy Formalism,1
0_Computer Science.1_Algorithm.2_Tautology (logic),1562
0_Computer Science.1_Algorithm.2_Nonogram,77
0_Computer Science.1_Algorithm.2_Generalized quantifier,167
0_Computer Science.1_Algorithm.2_Law of identity,220
0_Computer Science.1_Algorithm.2_VIC cipher,1
0_Computer Science.1_Algorithm.2_Zero-player game,3
0_Computer Science.1_Algorithm.2_Material conditional,84
0_Computer Science.1_Algorithm.2_Book cipher,13
0_Computer Science.1_Algorithm.2_Ctrie,3
0_Computer Science.1_Algorithm.2_Computability,4527
0_Computer Science.1_Algorithm.2_Bin,27513
0_Computer Science.1_Algorithm.2_SUHA,95
0_Computer Science.1_Algorithm.2_End-to-end auditable voting systems,1
0_Computer Science.1_Algorithm.2_Free variables and bound variables,626
0_Computer Science.1_Algorithm.2_Type constructor,259
0_Computer Science.1_Algorithm.2_Heyawake,5
0_Computer Science.1_Algorithm.2_Three-valued logic,274
0_Computer Science.1_Algorithm.2_Potential method,7763
0_Computer Science.1_Algorithm.2_Set constraint,139
0_Computer Science.1_Algorithm.2_Computational mathematics,2656
0_Computer Science.1_Algorithm.2_Verification condition generator,49
0_Computer Science.1_Algorithm.2_Deontic logic,2843
0_Computer Science.1_Algorithm.2_Digital reproduction,257
0_Computer Science.1_Algorithm.2_Logical framework,2461
0_Computer Science.1_Algorithm.2_Bipartite dimension,3
0_Computer Science.1_Algorithm.2_Glider,2833
0_Computer Science.1_Algorithm.2_Union of two regular languages,1
0_Computer Science.1_Algorithm.2_Termination analysis,531
0_Computer Science.1_Algorithm.2_Planning Domain Definition Language,446
0_Computer Science.1_Algorithm.2_Memory bound function,2
0_Computer Science.1_Algorithm.2_Ordinal logic,4
0_Computer Science.1_Algorithm.2_Faro shuffle,5
0_Computer Science.1_Algorithm.2_Propositional calculus,4489
0_Computer Science.1_Algorithm.2_Splaysort,3
0_Computer Science.1_Algorithm.2_Arden's Rule,3
0_Computer Science.1_Algorithm.2_Predicate transformer semantics,766
0_Computer Science.1_Algorithm.2_Satisfiability Modulo Theories,1368
0_Computer Science.1_Algorithm.2_Dovetailing,252
0_Computer Science.1_Algorithm.2_Rational set,75
0_Computer Science.1_Algorithm.2_Indirect self-reference,1
0_Computer Science.1_Algorithm.2_qsort,35
0_Computer Science.1_Algorithm.2_Ehrenfeucht–Fraïssé game,34
0_Computer Science.1_Algorithm.2_Adding machine,408
0_Computer Science.1_Algorithm.2_Strict logic,96
0_Computer Science.1_Algorithm.2_Arithmetic IF,58
0_Computer Science.1_Algorithm.2_Kleene's O,6
0_Computer Science.1_Algorithm.2_Residual,104789
0_Computer Science.1_Algorithm.2_Bailey–Borwein–Plouffe formula,2
0_Computer Science.1_Algorithm.2_Relevance logic,536
0_Computer Science.1_Algorithm.2_Currying,117
0_Computer Science.1_Algorithm.2_Gadget,1351
0_Computer Science.1_Algorithm.2_Turing machine gallery,2
0_Computer Science.1_Algorithm.2_Expander graph,624
0_Computer Science.1_Algorithm.2_Automated theorem proving,10037
0_Computer Science.1_Algorithm.2_Activity selection problem,15
0_Computer Science.1_Algorithm.2_Zolotarev's lemma,1
0_Computer Science.1_Algorithm.2_Gap reduction,188
0_Computer Science.1_Algorithm.2_STRIPS,7282
0_Computer Science.1_Algorithm.2_Local language,1078
0_Computer Science.1_Algorithm.2_Linear search,2424
0_Computer Science.1_Algorithm.2_Dialectica interpretation,3051
0_Computer Science.1_Algorithm.2_State diagram,3336
0_Computer Science.1_Algorithm.2_AND gate,21905
0_Computer Science.1_Algorithm.2_MicroWorlds,589
0_Computer Science.1_Algorithm.2_Lucas's theorem,5
0_Computer Science.1_Algorithm.2_Trie,2470
0_Computer Science.1_Algorithm.2_Kleene's T predicate,3
0_Computer Science.1_Algorithm.2_Magnetic Tower of Hanoi,2
0_Computer Science.1_Algorithm.2_Realizability,2553
0_Computer Science.1_Algorithm.2_Padding argument,1
0_Computer Science.1_Algorithm.2_Semantics encoding,2
0_Computer Science.1_Algorithm.2_Decision problem,12066
0_Computer Science.1_Algorithm.2_Job sharing,560
0_Computer Science.1_Algorithm.2_Toom–Cook multiplication,5
0_Computer Science.1_Algorithm.2_Spectral layout,9
0_Computer Science.1_Algorithm.2_Gas meter prover,1898
0_Computer Science.1_Algorithm.2_Capstone,8123
0_Computer Science.1_Algorithm.2_Standard ML,583
0_Computer Science.1_Algorithm.2_Sieve of Atkin,2
0_Computer Science.1_Algorithm.2_Continuous predicate,10
0_Computer Science.1_Algorithm.2_NEXPTIME,450
0_Computer Science.1_Algorithm.2_Mathematical logic,10283
0_Computer Science.1_Algorithm.2_Petri net,31467
0_Computer Science.1_Algorithm.2_Chinese hypothesis,1
0_Computer Science.1_Algorithm.2_Inductive type,162
0_Computer Science.1_Algorithm.2_Berry paradox,10
0_Computer Science.1_Algorithm.2_Free Lossless Image Format,1
0_Computer Science.1_Algorithm.2_Pigpen cipher,3
0_Computer Science.1_Algorithm.2_Combinatory logic,1537
0_Computer Science.1_Algorithm.2_Suurballe's algorithm,3234
0_Computer Science.1_Algorithm.2_Multi-key quicksort,1
0_Computer Science.1_Algorithm.2_Directed graph,13704
0_Computer Science.1_Algorithm.2_Context of computational complexity,11
0_Computer Science.1_Algorithm.2_Transcriptor,134
0_Computer Science.1_Algorithm.2_Linear temporal logic,3913
0_Computer Science.1_Algorithm.2_Accounting method,2566
0_Computer Science.1_Algorithm.2_Regular language,3570
0_Computer Science.1_Algorithm.2_Composite number,173274
0_Computer Science.1_Algorithm.2_Quadratic Frobenius test,4
0_Computer Science.1_Algorithm.2_Löb's theorem,14
0_Computer Science.1_Algorithm.2_Don't-care term,2
0_Computer Science.1_Algorithm.2_Thread automaton,1
0_Computer Science.1_Algorithm.2_Zsigmondy's theorem,5
0_Computer Science.1_Algorithm.2_Transition system,2384
0_Computer Science.1_Algorithm.2_Rabin signature algorithm,1
0_Computer Science.1_Algorithm.2_NP-intermediate,10
0_Computer Science.1_Algorithm.2_Shannon–Fano–Elias coding,2
0_Computer Science.1_Algorithm.2_Knowledge compilation,354
0_Computer Science.1_Algorithm.2_Cut rule,70
0_Computer Science.1_Algorithm.2_Full cycle,1720
0_Computer Science.1_Algorithm.2_Schönhage–Strassen algorithm,8
0_Computer Science.1_Algorithm.2_Graph-structured stack,4
0_Computer Science.1_Algorithm.2_Speed of light (cellular automaton),5
0_Computer Science.1_Algorithm.2_Lambda-mu calculus,59
0_Computer Science.1_Algorithm.2_Defunctionalization,110
0_Computer Science.1_Algorithm.2_Rational sieve,1
0_Computer Science.1_Algorithm.2_Categorical proposition,173
0_Computer Science.1_Algorithm.2_TC0,830
0_Computer Science.1_Algorithm.2_Exclusive or,1716
0_Computer Science.1_Algorithm.2_Numbering,4519
0_Computer Science.1_Algorithm.2_Bounded quantifier,445
0_Computer Science.1_Algorithm.2_Queap,1
0_Computer Science.1_Algorithm.2_Dirac (video compression format),6885
0_Computer Science.1_Algorithm.2_Metatheorem,86
0_Computer Science.1_Algorithm.2_Truth value,3722
0_Computer Science.1_Algorithm.2_Edge-notched card,3
0_Computer Science.1_Algorithm.2_Sweep line algorithm,409
0_Computer Science.1_Algorithm.2_Tree walking automaton,6
0_Computer Science.1_Algorithm.2_Bremermann's limit,4
0_Computer Science.1_Algorithm.2_History of logic,370
0_Computer Science.1_Algorithm.2_Machine that always halts,1
0_Computer Science.1_Algorithm.2_DLOGTIME,16
0_Computer Science.1_Algorithm.2_Imperative logic,66
0_Computer Science.1_Algorithm.2_Logjam,173
0_Computer Science.1_Algorithm.2_Carmichael's theorem,1
0_Computer Science.1_Algorithm.2_Exact cover,125
0_Computer Science.1_Algorithm.2_Pseudocode,602
0_Computer Science.1_Algorithm.2_Pollard's p − 1 algorithm,3
0_Computer Science.1_Algorithm.2_Sorting,48295
0_Computer Science.1_Algorithm.2_Cyberspace Electronic Security Act,2
0_Computer Science.1_Algorithm.2_Turing,4914
0_Computer Science.1_Algorithm.2_Lucas–Lehmer primality test,5
0_Computer Science.1_Algorithm.2_Impredicativity,269
0_Computer Science.1_Algorithm.2_Lagarith,2
0_Computer Science.1_Algorithm.2_ssh-keygen,1
0_Computer Science.1_Algorithm.2_Implication table,18
0_Computer Science.1_Algorithm.2_Excitable medium,652
0_Computer Science.1_Algorithm.2_Incompressible string,3
0_Computer Science.1_Algorithm.2_Boolean-valued model,19
0_Computer Science.1_Algorithm.2_Fenwick tree,8
0_Computer Science.1_Algorithm.2_Peano axioms,1932
0_Computer Science.1_Algorithm.2_Agoh–Giuga conjecture,1
0_Computer Science.1_Algorithm.2_polyL,101
0_Computer Science.1_Algorithm.2_Automated reasoning,3797
0_Computer Science.1_Algorithm.2_LZJB,2
0_Computer Science.1_Algorithm.2_Gödel,2178
0_Computer Science.1_Algorithm.2_Finite thickness,1089
0_Computer Science.1_Algorithm.2_Autowave reverberator,2
0_Computer Science.1_Algorithm.2_Minimum bottleneck spanning tree,3
0_Computer Science.1_Algorithm.2_Truth table,2161
0_Computer Science.1_Algorithm.2_Illegal prime,2
0_Computer Science.1_Algorithm.2_Modulo operation,732
0_Computer Science.1_Algorithm.2_Mersenne conjectures,1
0_Computer Science.1_Algorithm.2_SLR grammar,3
0_Computer Science.1_Algorithm.2_PTAS reduction,1
0_Computer Science.1_Algorithm.2_Halting problem,446
0_Computer Science.1_Algorithm.2_Big O notation,208
0_Computer Science.1_Algorithm.2_Typed lambda calculus,1528
0_Computer Science.1_Algorithm.2_ALGOL 60,625
0_Computer Science.1_Algorithm.2_Ackermann function,1406
0_Computer Science.1_Algorithm.2_Maze generation algorithm,7
0_Computer Science.1_Algorithm.2_NP-equivalent,6
0_Computer Science.1_Algorithm.2_Class logic,33
0_Computer Science.1_Algorithm.2_Zeno machine,4
0_Computer Science.1_Algorithm.2_Recursion,52282
0_Computer Science.1_Algorithm.2_De Morgan's laws,94
0_Computer Science.1_Algorithm.2_Universal quantification,376
0_Computer Science.1_Algorithm.2_First-order logic,5829
0_Computer Science.1_Algorithm.2_Self-organizing list,1388
0_Computer Science.1_Algorithm.2_Prime Pages,3
0_Computer Science.1_Algorithm.2_Quantum computer,20344
0_Computer Science.1_Algorithm.2_Simple set,561
0_Computer Science.1_Algorithm.2_Alpha recursion theory,3
0_Computer Science.1_Algorithm.2_LINCOA,2
0_Computer Science.1_Algorithm.2_The Magic Words are Squeamish Ossifrage,3
0_Computer Science.1_Algorithm.2_Substructural type system,15
0_Computer Science.1_Algorithm.2_Shift register lookup table,2
0_Computer Science.1_Algorithm.2_Garden of Eden,692
0_Computer Science.1_Algorithm.2_Tree (data structure),7519
0_Computer Science.1_Algorithm.2_ADFGVX cipher,4
0_Computer Science.1_Algorithm.2_Goodstein's theorem,12
0_Computer Science.1_Algorithm.2_Transdichotomous model,1
0_Computer Science.1_Algorithm.2_Batcher odd–even mergesort,5
